着空港,合計,稚内,釧路,函館,旭川,利尻,帯広,中標津,紋別,女満別,奥尻,新千歳,丘珠,青森,三沢,花巻,仙台,秋田,大館,山形,庄内,福島,成田,羽田,大島,三宅島,八丈島,調布,新島,神津島,青ヶ島,御蔵島,利島,新潟,富山,小松,能登,松本,静岡,中部,大阪,関西,神戸,但馬,南紀白浜,鳥取,美保,隠岐,出雲,石見,岡山,広島,山口宇部,岩国,徳島,高松,松山,高知,福岡,北九州,佐賀,長崎,福江,壱岐,対馬,熊本,天草,大分,宮崎,鹿児島,種子島,屋久島,奄美,喜界島,沖永良部,与論,徳之島,那覇,南大東島,久米島,宮古島,石垣,与那国,多良間,北大東島,波照間,粟国,下地島,慶良間
三宅島,249,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八丈島,485218,,,,,,,,,,,,,,,,,,,,,,,485218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
調布,25080,,,,,,,,,,,,,,,,,,,,,,,,8133,4293,,,11941,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新島,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神津島,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新潟,29277,,,,,,,,,,,4027,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,20018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5222,,,,,,,,,,,
富山,130548,,,,,,,,,,,17270,,,,,,,,,,,,113278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小松,353195,,,,,,,,,,,44939,,,,,,,,,,,,273147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3615,,,,,,,,,,,,,,,,,,,31494,,,,,,,,,,,
能登,1433,,,,,,,,,,,,,,,,,,,,,,,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
静岡,29497,,,,,,,,,,,24621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4876,,,,,,,,,,,
